gen,best_fitness,mean_fitness,best_depth,best_n2q,unique
0,0.6677714459176161,0.05703401838704393,5,4,40
1,0.8147046004730631,0.29747977627478706,5,4,40
2,0.9996975317696155,0.6100666242898753,3,1,40
3,1.0499292957392214,0.5310658934006472,3,0,40
4,1.0747655640139415,0.4682833949079267,3,0,39
5,1.0858713461873926,0.524542607972334,3,0,40
6,1.0858713461873926,0.6883167136130165,3,0,40
7,1.0966758234139105,0.8203691112792605,2,0,40
8,1.0966758234139105,0.9872339404951832,2,0,39
9,1.0966758234139105,1.076481643443286,2,0,39
10,1.096683994546282,0.9952785035956724,2,0,38
11,1.096684203846576,1.0085880473928448,2,0,37
12,1.0966843901671173,1.0063832160832509,2,0,33
13,1.1066843901671173,0.9933587115537132,1,0,34
14,1.1066843901671173,1.0101993209055748,1,0,35
15,1.1066843901671173,1.0858014844918766,1,0,40
16,1.1066843901671173,1.0951999666730103,1,0,40
17,1.1066843901671173,1.1046463084769633,1,0,40
18,1.1066843901671173,1.068318949707469,1,0,40
19,1.1066843901671173,1.1066843901671173,1,0,40
20,1.1066843901671173,1.10643436592475,1,0,40
21,1.1066843901671173,1.0846603071131278,1,0,40
22,1.1066843901671173,1.077307855915973,1,0,40
23,1.1066843901671173,1.0726943760509395,1,0,40
24,1.1066843901671173,1.0726616346424416,1,0,40
